D058165	22q11 Deletion Syndrome
C535313	3C syndrome
C535312	3-Hydroxyisobutyric aciduria
C535308	3-methylcrotonyl CoA carboxylase 1 deficiency
D058489	46, XX Disorders of Sex Development
D058531	46, XX Testicular Disorders of Sex Development
C535317	47, XYY syndrome
C535319	49,XXXXX syndrome
C535322	5-oxoprolinase deficiency
C535325	6-pyruvoyl-tetrahydropterin synthase deficiency
C535332	Aase Smith syndrome
C535334	ABCD syndrome
D000012	Abetalipoproteinemia
C535556	Abidi X-linked mental retardation syndrome
C535557	Ablepharon macrostomia syndrome
C535559	Abruzzo Erickson syndrome
C535564	Absence of tibia with polydactyly
C535568	Absent patella
C535570	Acalvaria
D015823	Acanthamoeba Keratitis
C536003	Accessory pancreas
C536008	Achalasia Addisonianism Alacrimia syndrome
C536011	Achalasia, familial esophageal
C536010	Achalasia microcephaly
C536014	Acheiropodia
C536015	Achondrogenesis type 1A
C536016	Achondrogenesis type 1B
C536017	Achondrogenesis type 2
D000130	Achondroplasia
C536020	Achondroplasia and Swiss type agammaglobulinemia
C538165	Achromatopsia incomplete, X-linked
C538167	Acidemia, isovaleric
C538170	Ackerman syndrome
C538173	Acquired angioedema
D000168	Acrocephalosyndactylia
C538179	Acrodysostosis
C538180	Acrodysplasia scoliosis
C538182	Acrofacial dysostosis Catania form
C538184	Acrofacial dysostosis, Nager type
C538185	Acrofacial dysostosis, Palagonia type
C538183	Acrofacial dysostosis Rodriguez type
C538187	Acrogeria, gottron type
C535653	Acrokeratoelastoidosis of Costa
C535655	Acromegaloid facial appearance syndrome
D000172	Acromegaly
C535657	Acromelic frontonasal dysplasia
C535658	Acromesomelic dysplasia
C535661	Acromesomelic dysplasia, Maroteaux type
C535662	Acromicric dysplasia
C535663	Acroosteolysis dominant type
C535665	Acrorenal mandibular syndrome
C537957	Acute fatty liver of pregnancy
D055371	Acute Lung Injury
D050398	Adamantinoma
C538225	Adams Oliver syndrome
D000224	Addison Disease
D018248	Adenoma, Liver Cell
D011125	Adenomatous Polyposis Coli
C538234	Adenosine monophosphate deaminase deficiency
C538235	Adenylosuccinate lyase deficiency
D000274	Adiposis Dolorosa
D000312	Adrenal Hyperplasia, Congenital
D018268	Adrenocortical Carcinoma
D000308	Adrenocortical Hyperfunction
D047808	Adrenogenital Syndrome
D000326	Adrenoleukodystrophy
C538051	Adrenomyodystrophy
D000361	Agammaglobulinemia
D019588	Aging, Premature
C535607	Aicardi-Goutieres syndrome
D058540	Aicardi Syndrome
D016738	Alagille Syndrome
C537042	Albinism deafness syndrome
C537043	Albinism ocular late onset sensorineural deafness
D016115	Albinism, Oculocutaneous
D038261	Alexander Disease
D000474	Alkaptonuria
C537047	Allan-Herndon-Dudley syndrome
C537051	Alopecia contractures dwarfism mental retardation
C537057	Alopecia, epilepsy, pyorrhea, mental subnormality
C537053	Alopecia hypogonadism extrapyramidal disorder
C537055	Alopecia universalis
D019896	alpha 1-Antitrypsin Deficiency
C536582	Alpha-ketoglutarate dehydrogenase deficiency
D008363	alpha-Mannosidosis
D017085	alpha-Thalassemia
C536586	Alport syndrome, dominant type
C536587	Alport syndrome, recessive type
D056769	Alstrom Syndrome
C536589	Alternating hemiplegia of childhood
C536591	Alveolar echinococcosis
D000542	Alveolitis, Extrinsic Allergic
C536604	Amaurosis hypertrichosis
C536605	Ambras syndrome
D000567	Amelogenesis Imperfecta
C536606	Amelogenesis Imperfecta hypomaturation type
C538241	Amelogenesis imperfecta nephrocalcinosis
C538245	Ameloonychohypohidrotic syndrome
C538247	Amish lethal microcephaly
C531613	Amoebiasis due to Entamoeba histolytica
D000686	Amyloidosis
C537944	Amyloidosis, Cerebroarterial, App-Related
C538250	Amyopathic dermatomyositis
D000690	Amyotrophic Lateral Sclerosis
C538253	Amyotrophy, monomelic
C538256	Anauxetic dysplasia
D000724	Ancylostomiasis
D013734	Androgen-Insensitivity Syndrome
D029503	Anemia, Diamond-Blackfan
D000742	Anemia, Dyserythropoietic, Congenital
D000744	Anemia, Hemolytic, Autoimmune
C536356	Anemia, hereditary spherocytic hemolytic
D000753	Anemia, Refractory
D000754	Anemia, Refractory, with Excess of Blasts
D000755	Anemia, Sickle Cell
D000756	Anemia, Sideroblastic
D017204	Angelman Syndrome
C536362	Angiofollicular ganglionic hyperplasia
D000796	Angiolymphoid Hyperplasia with Eosinophilia
C536364	Angioma hereditary neurocutaneous
C536369	Angiostrongyliasis
D017129	Anisakiasis
C536373	Ankyloblepharon filiforme adnatum
C536376	Annular pancreas
D000848	Anodontia
C536378	Anonychia onychodystrophy
C537767	Anophthalmia plus syndrome
C537770	Anorchia
D056648	Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis
C537778	Antisynthetase syndrome
C537782	Aorta-pulmonary artery fistula
C537785	Aortic arch anomaly with peculiar facies and mental retardation
D001017	Aortic Coarctation
D021921	Aortic Stenosis, Supravalvular
C537786	Aphakia, congenital primary
D018888	Aphasia, Primary Progressive
C537788	Aplasia cutis congenita intestinal lymphangiectasia
C536840	Aplasia cutis congenita of limbs recessive
C538494	Aplastic anemia, idiopathic
C537422	Apparent mineralocorticoid excess
C537423	Apraxia, oculomotor, Cogan type
D016080	Arachnoid Cysts
D001100	Arachnoiditis
C537427	AREDYLD Syndrome
D056807	Argininosuccinic Aciduria
D001129	Argyria
C537436	Aromatase deficiency
C537438	Arrhinia
D019571	Arrhythmogenic Right Ventricular Dysplasia
C537440	Arterial calcification of infancy
D001164	Arteriovenous Fistula
D001165	Arteriovenous Malformations
D001171	Arthritis, Juvenile
D016918	Arthritis, Reactive
D001176	Arthrogryposis
C535386	Arthrogryposis-like hand anomaly and sensorineural deafness
C535380	Arthrogryposis multiplex congenita, distal, X-linked
C536614	Arthrogryposis multiplex congenita neurogenic type
C538401	Arthrogryposis multiplex congenita whistling face
C535382	Arthrogryposis renal dysfunction cholestasis syndrome
C535387	Arthropathy, progressive pseudorheumatoid, of childhood
C535388	Arts syndrome
C538402	Aspartylglucosamidase (AGA) deficiency
D054880	Aspartylglucosaminuria
D001228	Aspergillosis
D001229	Aspergillosis, Allergic Bronchopulmonary
D001254	Astrocytoma
D001260	Ataxia Telangiectasia
C535393	Ataxia with vitamin E deficiency
C535396	Atelosteogenesis, type 1
C535395	Atelosteogenesis type 2
C535397	Athabaskan brainstem dysgenesis
C538260	Atresia of small intestine
C538262	Atrial myxoma, familial
C548009	Atrial Septal Defect Sinus Venosus
C538265	Attenuated familial adenomatous polyposis
C538270	Auriculo-condylar syndrome
C538271	Auriculoosteodysplasia
D056735	Autoimmune Lymphoproliferative Syndrome
C538275	Autoimmune polyendocrinopathy syndrome, type 1
C535679	Axenfeld-Rieger syndrome
C537790	Axial mesodermal dysplasia spectrum
D001404	Babesiosis
D001447	Balantidiasis
C537901	Bamforth syndrome
C537902	Bangstad syndrome
C537908	Barber Say syndrome
D020788	Bardet-Biedl Syndrome
D056889	Barth Syndrome
D001474	Bartonella Infections
D001477	Bartter Syndrome
C537658	Basal ganglia disease, biotin-responsive
C537662	Battaglia Neri syndrome
C537663	Bazex-Dupre-Christol syndrome
D001506	Beckwith-Wiedemann Syndrome
C537668	Beemer Ertbruggen syndrome
D001528	Behcet Syndrome
D001606	Bernard-Soulier Syndrome
D001607	Berylliosis
D044905	beta-Mannosidosis
D017086	beta-Thalassemia
C535436	Bethlem myopathy
C535440	Bietti Crystalline Dystrophy
C535441	Bifid nose
C535442	Bile acid synthesis defect, congenital, 1
C535443	Bile acid synthesis defect, congenital, 2
C566340	Bile Acid Synthesis Defect, Congenital, 3
C535444	Bile acid synthesis defect, congenital, 4
D001650	Bile Duct Neoplasms
D001656	Biliary Atresia
D028921	Biotinidase Deficiency
D001716	Bird Fancier's Lung
C535448	Bird headed dwarfism Montreal type
D058249	Birt-Hogg-Dube Syndrome
C537633	Bjornstad syndrome
D001746	Bladder Exstrophy
D001763	Blepharoptosis
C536236	Blepharoptosis myopia ectopia lentis
D001816	Bloom Syndrome
C536237	Blount disease
C536238	Blue cone monochromatism
C536239	Blue diaper syndrome
C536240	Blue rubber bleb nevus syndrome
C536573	Boomerang dysplasia
C536575	Borjeson-Forssman-Lehmann syndrome
D001906	Botulism
D001907	Boutonneuse Fever
C537081	Bowen-Conradi syndrome
C537086	Brachydactylous dwarfism Mseleni type
C537088	Brachydactyly type A1
C537089	Brachydactyly type A2
C537092	Brachydactyly type A6
C537093	Brachydactyly type C
C536242	Brachymorphism-onychodysplasia-dysphalangism syndrome
C537098	Brachyolmia
D019280	Branchio-Oto-Renal Syndrome
C536607	Brody myopathy
D001994	Bronchogenic Cyst
D001997	Bronchopulmonary Dysplasia
C537111	Brown-Vialetto-Van Laere syndrome
D002006	Brucellosis
D053840	Brugada Syndrome
C537409	Bruton type agammaglobulinemia
D006502	Budd-Chiari Syndrome
D010244	Bulbar Palsy, Progressive
D002051	Burkitt Lymphoma
C537411	Burn-Mckeown syndrome
C537415	Buschke-Ollendorff syndrome
C537417	Butyrylcholinesterase deficiency
D046589	CADASIL
C537966	Campomelia Cumming type
D055036	Campomelic Dysplasia
C537967	Camptobrachydactyly
C537968	Camptocormia
C537974	Camptodactyly, fibrous tissue hyperplasia, and skeletal dysplasia
C537970	Camptodactyly syndrome Guadalajara type 1
C537971	Camptodactyly syndrome Guadalajara type 2
C537972	Camptodactyly taurinuria
D003966	Camurati-Engelmann Syndrome
D017825	Canavan Disease
D002178	Candidiasis, Chronic Mucocutaneous
C537980	CANOMAD syndrome
C535572	Cantu syndrome
D019559	Capillary Leak Syndrome
C535351	CAPOS syndrome
D018236	Carcinoma, Embryonal
D006528	Carcinoma, Hepatocellular
D002292	Carcinoma, Renal Cell
C535579	Cardiofaciocutaneous syndrome
D009202	Cardiomyopathies
D002311	Cardiomyopathy, Dilated
D002312	Cardiomyopathy, Hypertrophic
D024741	Cardiomyopathy, Hypertrophic, Familial
C535584	Cardiomyopathy, infantile histiocytoid
D002313	Cardiomyopathy, Restrictive
D056733	Carney Complex
C535589	Carnitine palmitoyl transferase 2 deficiency
D016767	Caroli Disease
C531647	Caroli disease isolated
C535916	Cartilage-hair hypoplasia
D005871	Castleman Disease
C535336	Cataract, alopecia, sclerodactyly
C538280	Cataract and cardiomyopathy
C538282	Cataract anterior polar dominant
C538283	Cataract ataxia deafness
C538287	Cataract microcornea syndrome
C535342	Cataract, zonular
C535347	Catel Manzke syndrome
D002372	Cat-Scratch Disease
